Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
GDP per capita (current US$),NY.GDP.PCAP.CD,Moldova,MDA,354.0012789752,407.7302431871,458.6778168363,548.2896866905,720.9409320721,831.2036369447,950.6482043627,1230.4346847203,1695.9728111438,1525.5261188276,1631.5358317953,1970.5713725334,2046.5367866511
GDP per capita (current US$),NY.GDP.PCAP.CD,Papua New Guinea,PNG,654.6198569825,558.261615432,529.9294837896,609.3873989746,660.1899997168,798.2290757365,885.0422018207,991.0830616408,1221.227117899,1208.8607252957,1416.5624963614,1835.6273668521,2147.5165790895
GDP per capita (current US$),NY.GDP.PCAP.CD,Honduras,HND,1139.517301956,1188.7619829388,1197.1518160543,1228.1357978708,1297.1968321194,1401.9787672727,1540.5830578724,1710.050946052,1883.232362453,1952.8501056282,2078.3257595498,2277.3665149494,2334.7972788372
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,778.1664449363,820.0560128314,897.3943466382,1009.1551969661,1108.5183445411,1258.9917073762,1348.8201429905,1760.6026289596,1817.9816159059,1795.1494701039,2211.4469070667,2495.3869750204,2458.3958275928
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,988.533289261,939.1453810738,893.9468884731,896.3721252364,954.9220895218,1020.782395669,1203.256685754,1355.8872335817,1695.5621790872,1735.1433700624,1934.6660667447,2319.5959837182,2575.6836947783
GDP per capita (current US$),NY.GDP.PCAP.CD,Philippines,PHL,1043.4561027753,961.7169825159,1004.990581326,1015.7802765804,1084.7654670648,1201.0037640464,1398.8277271703,1680.5516468033,1927.5501050141,1831.9864562742,2135.9343082676,2358.0724666255,2587.6168803819
GDP per capita (current US$),NY.GDP.PCAP.CD,Nigeria,NGA,377.500257058,350.2878210751,457.4736504896,510.4169414355,645.9256501655,804.1523666996,1014.7567051886,1130.8798616389,1376.0161081767,1090.7465888714,2310.8609021451,2507.6829693584,2730.2228698857
GDP per capita (current US$),NY.GDP.PCAP.CD,West Bank and Gaza,WBG,1477.1493499643,1336.918719628,1156.7543343702,1254.9343450115,1336.9689019858,1455.9336796405,1442.8203908424,1576.2921228059,1855.4570204588,1963.2015186572,2338.719876823,2664.9513846395,2787.1697405926
GDP per capita (current US$),NY.GDP.PCAP.CD,Morocco,MAR,1275.88034552,1285.4474295202,1362.5324493126,1662.7071858076,1881.9647212027,1948.2001667602,2128.1714670145,2416.1750661133,2827.1783637799,2860.991557618,2822.7193469132,3044.0972238058,2899.9805256695
GDP per capita (current US$),NY.GDP.PCAP.CD,Sri Lanka,LKA,854.9267251522,837.6988034933,903.8964048532,984.8101724934,1063.1605835502,1242.4284358379,1424.101241423,1614.3639235451,2010.9565504415,2057.028067102,2399.920468625,2835.8128726265,2921.659559874
GDP per capita (current US$),NY.GDP.PCAP.CD,Swaziland,SWZ,1433.1812404461,1255.4788015461,1131.2560768753,1704.1852417796,2211.1235918727,2339.2899527779,2636.20449674,2690.6343992123,2616.9540836842,2679.3304117465,2956.6967946812,3140.5057911416,3054.9543034759
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Rep.",COG,1029.9745845228,871.670943342,919.6870143679,1039.3797989678,1347.8709070729,1718.1008154528,2120.097884535,2233.3081707429,3059.2262310675,2401.2981080636,2920.4068352153,3414.0548114771,3153.739747029
GDP per capita (current US$),NY.GDP.PCAP.CD,"Micronesia, Fed. Sts.",FSM,2170.9606255236,2239.9169543716,2257.7736649748,2293.579613541,2247.8376730002,2352.6394094051,2393.8005033779,2434.8059411782,2500.9052804838,2668.8102862968,2838.4485470811,3000.1498685025,3154.514241501
GDP per capita (current US$),NY.GDP.PCAP.CD,Vanuatu,VUT,1469.8888621449,1362.6377247031,1353.9767043004,1580.598054014,1788.0170922655,1886.3877341435,2046.9064715028,2392.8450777273,2697.2680152803,2642.9314988963,2965.7512100696,3276.3526697181,3161.4355384412
GDP per capita (current US$),NY.GDP.PCAP.CD,"Egypt, Arab Rep.",EGY,1509.5810205705,1452.7667044442,1286.1922790536,1194.306818276,1116.9251610186,1249.4932602467,1472.5705483843,1757.7758807988,2156.7629688668,2461.5085390571,2803.5395198129,2972.5976638642,3255.9236120758
